Timestamp	Do you work in the climbing industry full time or part time?	How many years of experience do you have working in climbing?	How old are you?	What is your MAIN source of income within the climbing industry? 	What is your [hourly] salary in this PRIMARY position? [include currency-USD$___, etc]	What SECONDARY job do you make income from within the climbing industry?	What is your [hourly] salary in this SECONDARY position? [include currency-USD$___, etc]	What TERTIARY job do you make income from within the climbing industry?	What is your [hourly] salary in this TERTIARY position?	Where do you work? [Country/State/City] 	What is the minimum wage in the city/area where you work? 	Does your climbing job  provide you with medical  coverage?	Do you feel you are compensated  fairly for the work you do?	Have you experienced unsafe working conditions in  your time working in the climbing industry?	Have you experienced harassment, racism,  sexism, homophobia, transphobia, or any  other type of discrimination in the workplace?  Check yes to ALL that apply.	What is your  race?	What is your  gender?	Share any additional reflections or experiences working in the climbing industry [optional].
7/22/2020 17:30:54	Full Time	3-5	22-30	Gym Employed Routesetter	$13.88					Peoria, Illinois, USA	$10	Yes	Relative to my peers, I am reasonably  compensated, but I believe  routesetters as a collective are  underpaid industry-wide. 	Yes, but not everywhere I’ve worked. 	I have not personally experienced discrimination,  but I know others who have. 	White	Male	
7/22/2020 17:33:16	Full Time	5-10	30-40	Climbing Gym Employee (Front Desk)	22			Climbing Gym Employee (Front Desk)		San Jose, Ca	15	Yes	No	Yes	Sexism	Asian	Female	
7/22/2020 17:33:52	Part Time	3-5	22-30	Climbing Team Coach	20 USD/hr	Gym Employed Climbing Personal Trainer/Coach	35 USD/hr			Chatham/NJ/USA	$11/hr	No	Yes	Yes	No	White	Male	
7/22/2020 17:55:21	Part Time	3-5	22-30	Gym Employed Routesetter	12 USD					St. Louis, MO USA	7.65	No	No	Yes	Sexism	White	Female	
7/22/2020 17:56:08	Part Time	3-5	22-30	Climbing Gym Employee (Front Desk)	19	Private lessons	20	Climbing Instructor (for Children)	16	California 	15	No	Yes	No more then climbing inherently calls for. 	No	White	Male	Problematically Culty about climbing culture. 
7/22/2020 17:56:47	Part Time	1-3	18-22	Climbing Instructor (for Adults)	15.5	Climbing Instructor (for Children)	15.5	Safety and janitorial 	15.5	Berkeley/California/United States	15.59	No	No	No	No	White	Female	It's disorganized and a lot of the management falls into employees that aren't getting paid properly for that position
7/22/2020 18:15:00	Part Time	5-10	22-30	Climbing Gym Employee (Front Desk)	15.00USD	Climbing Instructor (for Children)	15.00USD			Berkeley, CA, USA	14.00? I think	No	No	Yes. I was sexually assaulted and nothing was done. 	Sexism	White	Female	I recently quit my job after working at a climbing gym for 5+ years because my boss didn’t act when I told her o was sexually  assaulted by a member of our gym. 
7/22/2020 18:20:34	Full Time	3-5	22-30	Gym Employed Routesetter	$15.25USD	Climbing Instructor (for Adults)	$15.25USD			Murfreesboro, TN, USA	$7.25USD	No	No	Yes, extension ladders up to 25ft. 	No	White	Male	My hourly wage seems fair, however I wish I had PTO and Health insurance provided. A massage would be nice too. 
7/22/2020 18:32:15	Part Time	5-10	22-30	Gym Employed Routesetter	19.5					Chicago IL USA	14	No	No	No	No	White	Male	
7/22/2020 18:45:16	Part Time	10+	30-40	Climbing Gym Employee (Management)	23	Gym Employed Routesetter	28	Gym Employed Climbing Personal Trainer/Coach	23	Melbourne Victoria Australia 	17	Health care is provide by the government 	Yes	Yes 	No	White	Male	
7/22/2020 18:59:23	Part Time	1-3	22-30	Climbing Gym Employee (Management)	14.00 USD	Climbing Instructor (for Adults)	14.00 USD	Gym Employed Routesetter	14	IL/USA	10.00 USD	No	No	Nothing out of the ordinary	Sexism	White	Male	
7/22/2020 19:05:44	Full Time	5-10	22-30	Climbing Team Coach	22 - USD	Climbing Gym Employee (Front Desk)	25 - USD			Bay Area / CA / USA	15.59 - USD	Yes	No	Yes	No	White	Male	
7/22/2020 19:38:43	Is there an option for "I'm capped at 35 hours so my employer doesn't have to give me benefits, but am still given full time responsibilities"?	3-5	22-30	Climbing Gym Employee (Management)	14					Chatham, NJ, USA	10	No	Yes	Yes	Sexism	White	Non Binary	For my gym, it seems as though there is not much room for advancement. In waiting for upper management positions to  become vacant, one have to stay at close to minimum wage (often with not enough hours to live off of), requiring one to work  multiple jobs, leading to burnout and dissatisfaction with your place of employment. 
7/22/2020 19:41:52	Part Time	1-3	18-22	Climbing Instructor (for Children)	$14.00	Gym Employed Routesetter	15	Freelance photographer 	Depends on event but normally 80$/hour	Chicago Illinois USA 	$14	No	Yes for photos, no for other 	No	No	Hispanic	Male	
7/22/2020 19:44:20	Part Time	0-1	30-40	Climbing Team Coach	$12					Chatham, NJ, USA	$8	No	Yes	No	No	White	Female	
7/22/2020 20:52:23	Full Time	5-10	22-30	Gym Employed Routesetter	$25/hour USD					New York City 	$15/hour USD	Yes	No	Yes	Racism, Sexism	White	Male	
7/22/2020 21:02:24	Part Time	5-10	22-30	Climbing Gym Employee (Front Desk)	18	Climbing Instructor (for Adults)	19	Facility maintenance (not official position put  I pick up the slack from now facility manager  within my front desk job)	18	Chicago, IL, USA	15	No	No	During the current pandemic, yes.	No but as a white ally I have witnessed it 	White	Male	I have been held at 30 hrs a week for the past 3 years coving management like duties with no plans of moving me to a  management position at my facility. Even when a full time job, with the official job description covering all my previous (pre covid)  tasks, opened at a neighboring facility within our company I was not moved to full time at my current location because I work  30 hrs a week and not 40 (the difference provided to my when asked for an explanation on why I wasn’t full time) . I have worked  at this company going on 4 years and have no indication or prospects of upward mobility or stability. I know from the community  that I am valid and helpful their community, which years of experience, but I am still living paycheck to paycheck and have been  able to not worry about finances for the first time in my life under the cares act.   I hope this survey gets out to kind ears. Because I feel my friends, and myself, hurting. 
7/22/2020 21:51:08	Full Time	1-3	22-30	Climbing Gym Employee (Management)	$32 hourly USD, $60k salary 					New York City, New York, USA	15	Yes	Yes	Yes	Sexism	White	Female	
7/22/2020 21:58:12	Full Time	5-10	22-30	Climbing Gym Employee (Management)	19.23	Gym Employed Routesetter	19.23	Climbing Gym Employee (Front Desk)	19.23	Providence, RI USA	10.5	Yes	Yes	Yes, routesetting at this chain only put in standards in the past year.  They are often not followed and have in the past resulted in multiple  injuries to route setters (myself included).  	Sexism	White	Male	
7/22/2020 22:06:26	Part Time	1-3	18-22	Climbing Gym Employee (Front Desk)	10	Climbing Instructor (for Adults)	10	Climbing Instructor (for Children)	10	Bloomington, IL	10	No	Yes	No	Sexism	White	Female	Some coworkers/customers dont always respect me as a climber because I'm a woman
7/22/2020 22:08:40	Full Time	5-10	22-30	Gym Employed Routesetter	$16.50	Climbing Gym Employee (Management)	$16.50			Flemington NJ USA	$10	Half of my monthly insurance costs	No	Yes	No	Biracial	Male	
7/22/2020 22:12:47	Part Time	5-10	22-30	Climbing Instructor (for Adults)	$15	Social Media	$15	Climbing Gym Employee (Front Desk)	$15	Hoboken, NJ, USA	$11	No	Yes	No	Sexism	Asian	Female	
7/22/2020 22:13:07	Full Time	0-1	22-30	Climbing Gym Employee (Management)	65000					Chicago, IL, USA 	$8.50	Yes	No	No	Homophobia	White	Male	
7/22/2020 22:20:50	Part Time	1-3	22-30	Climbing Gym Employee (Front Desk)	12-13	Hold washer	12			Chicago	11	No	Yes and no.	No	Sexism	Asian	Male	The climbing industry sets a really low bar for the income of the employees, especially for route setters. Hopefully everything will  change for the better soon.
7/22/2020 22:58:49	Currently part-time, but  worked full-time for the  last 3 years. 	5-10	22-30	Climbing Instructor (for Adults)	$9.35	Climbing Gym Employee (Management)	(this is from my recently  left position) $20.00 			St. Louis, MO (previously New York)	8.6	No	No	Yes	Sexism	White	Female	
7/22/2020 23:01:58	Part Time	0-1	18-22	General staff member	$15 USD	Climbing Instructor (for Children)	$18 USD			New York, NY USA	$15	No	Yes	No	Sexism	White	Female/gender  non conforming	
7/22/2020 23:09:53	Full Time	1-3	30-40	Gym Employed Routesetter	20 usd	Gym Employed Climbing Personal Trainer/Coach	20 usd			NYC	15	Yes	No	Yes	Racism, Sexism	Hispanic	Male	
7/22/2020 23:47:45	Part Time	1-3	18-22	Climbing Gym Employee (Front Desk)	12.1	Freelance Routesetter	12.1	Climbing Instructor (for Children)	12.1	Colorado	12.1	No	Yes	No	Sexism	White	Female	
7/23/2020 0:38:11	Full Time	5-10	22-30	Climbing Gym Employee (Management)	30	Gym Employed Routesetter	30	Gym Employed Climbing Personal Trainer/Coach	30	California	15	Yes	No	It’s the climbing industry so ya		White	Prefer not to say	Minimum $10+ above minimum wage to work in a gym is needed to compensate for experience and responsibility.
7/23/2020 0:40:44	Full Time	3-5	18-22	Gym Employed Routesetter	19	Climbing Instructor (for Children)	17	Climbing Instructor (for Adults)	16	San Francisco, ca 	16.15	No	No	Yes 	Sexism	White	Female	
7/23/2020 1:18:12	Part Time	1-3	22-30	Climbing Instructor (for Adults)	15	Gym Employed Routesetter	15	Climbing Gym Employee (Front Desk)	15	Louisville, KY, USA	7.25	No	Yes	no	No	White	Male	
7/23/2020 1:54:54	Part Time	3-5	18-22	Climbing Team Coach	15€	Climbing Instructor (for Children)	15	Climbing Instructor (for Adults)	15	Augsburg/Bavaria/Germany	9,35€	No	No	No	No	White	Female	
7/23/2020 2:23:21	Part Time	3-5	22-30	Climbing Gym Employee (Front Desk)	9,50€	Climbing Instructor (for Children)	11,00€	Gym Employed Routesetter	7,00€	Germany	9,50€	No	No	Yes	Sexism	White	Male	
7/23/2020 3:07:12	Full Time	0-1	22-30	Climbing Instructor (for Children)	$42,000 annual					Brooklyn, New York, USA	$15	Yes	No	Yes	Racism, Sexism	Asian	Female	
7/23/2020 5:16:33	Part Time	1-3	30-40	Freelance Climbing Personal Trainer/Coach	15-20€					Valence - FRANCE	10€	No	No	no		White	Male	
7/23/2020 5:53:21	Full Time	1-3	22-30	Gym Employed Routesetter	$10.50					Memphis, TN, USA	$7.25	No	No	No	No	White	Male	
7/23/2020 6:21:09	Occasionally	10+	22-30	Climbing Gym Employee (Front Desk)	$13 USD					Boston Ma	$12.75	No	Yes	No	No	White	Female	
7/23/2020 6:27:29	Full Time	3-5	22-30	Youth Program Coordinator	11.21	Climbing Instructor (for Children)	11.21	Climbing Gym Employee (Front Desk)	11.21	Nova Scotia Canada	9.38	Yes	No	No	Sexism	White	Female	
7/23/2020 6:54:02	Full Time	1-3	22-30	Warehouse employee for a company that makes  holds and hangboards	16.5					Denver, CO USA	10.25 (I think)	No	No	Yes	No	White	Male	Great to work with your passion, but easily exploitable because most folks are young and psyched on climbing so it’s easier  to pay them less. 
7/23/2020 7:24:38	Part Time	3-5	22-30	Gym Employed Routesetter	10 USD	Gym Employed Climbing Personal Trainer/Coach	10 USD			Morrisville/NC/USA	7.25 USD	No	No	Yes		White	Male	
7/23/2020 7:25:38	Part Time	10+	22-30	Climbing Gym Employee (Front Desk)	$10.50	Climbing Instructor (for Adults)	$10.50			Triangle Rock Club - Raleigh/NC/USA	$7.25	No	No	Yes - staff is not adequately trained 	No	White	Female	You may only work 30 hours a week so they don't have to provide medical benefits. 
7/23/2020 7:28:59	Part Time	3-5	22-30	Gym Employed Routesetter	$7.25	Gym Employed Climbing Personal Trainer/Coach	$12.00			Richmond, VA, USA	$7.25	No	No	Yes	Sexism, Homophobia	White	Female	
7/23/2020 7:37:23	Full Time	10+	22-30	Gym Employed Routesetter	~$20/hr.		$20-$40/hr.			MA	$12.75/hr.	Yes	No	We are as safe as routesetting can possibly be.	Sexism	White	Female	Implicit biases are a bitch.
7/23/2020 7:41:18	Part Time	3-5	40-60	Gym Employed Routesetter	11					Morrisville, NC	7.25	No	No	Yes. 	Sexism	Biracial	Female	
7/23/2020 8:00:50	Part Time	3-5	22-30	Climbing Gym Employee (Front Desk)	10.25	Climbing Instructor (for Children)	10.25	Climbing Instructor (for Adults)	10.25	Raleigh/North Carolina/USA	7.25	No	Yes	Yes	No	White	Male	
7/23/2020 8:06:55	Part Time	3-5	22-30	Climbing Team Coach	$12 USD	Climbing Instructor (for Children)	$8 USD	Floor staff	$7.25 USD	Richmond VA USA	7.25 USD	No	No	no	Sexism	White	Female	As a comp team coach my male coworkers make $3 more per hour ($15 versus my $12). When I got my raise, it was only a few  cents and they also never actually increased my pay. 
7/23/2020 8:08:19	Part Time	1-3	22-30	Climbing Team Coach	13	Climbing Instructor (for Children)	12			Evanston/IL/USA	12	No	No	No	No	Asian	Female	
7/23/2020 8:22:09	Full Time	5-10	22-30	Gym Employed Routesetter	$17.00					Mooresville, NC	$8.50	Yes	No	Yes, all the time. Setting alone, inadequate safety equipment, over  exertion from having to work overtime but not getting paid for  overtime.	Racism, Sexism, Homophobia, Transphobia	White	Female	Overall, ownership of the climbing facility has no appreciation or regards for fairly compensating staff or giving them proper safety  equipment needed to complete their job. We have no POC employed at the facility and the female staff are constantly  undermined and skipped over when management roles are needed. 
7/23/2020 8:31:16	Part Time	3-5	22-30	Gym Employed Routesetter	$10					Mooresville/North Carolina/USA	7.45	No	No	Yes	Sexism	White	Male	
7/23/2020 8:38:26	Part Time	1-3	18-22	Climbing Gym Employee (Front Desk)	$10.00	Climbing Instructor (for Children)	$10.00	Climbing Gym Employee (Management)	$10.33	Moorseville, NC, US	$7.30	No	Yes	no	No	White	Female	
7/23/2020 8:39:11	Full Time	1-3	18-22	Climbing Gym Employee (Management)	22.56 USD					Somerville, MA USA	12.50 USD	Yes	No	Yes	Racism, Sexism, Homophobia, Transphobia	Hispanic	Female	
7/23/2020 9:11:35	Full Time	3-5	22-30	Climbing Gym Employee (Management)	$16.00 USD					Charlotte, NC, USA	$7.25 USD	Yes	No	No	No	White	Female	I've honestly loved working in the climbing industry because I'm so passionate about the sport and community, however it's  tough to know that I'm sacrificing a huge pay cut to work in this industry. I have a bachelor's degree in Marketing, with a  secondary degree in Graphic Design and would be making almost double my salary if I was working in my industry. 
7/23/2020 9:13:48	Full Time	5-10	22-30	Gym Employed Routesetter	21	Freelance Routesetter	30	Climbing Gym Employee (Front Desk)	12	Phoenix	11	Yes	Sure	Snaochats to OSHA	No	Middle eastern (iranian)	Male	
7/23/2020 9:26:00	Part Time	3-5	18-22	Climbing Instructor (for Children)	Minimum Virginia State Wage $7.25					Richmond, Va, USA	$7.25	No	No	No. 	Sexual harassment from a coworker, however it was taken care of by management when I brought it up. 	White	Female	
7/23/2020 9:34:59	Part Time	3-5	22-30	Gym Employed Routesetter	14.50 USD/ hour	Climbing Instructor (for Children)	14.50 USD/ hour			Bloomington/Illinois/United States	10.00 USD	No	No	Yes		White	Male	
7/23/2020 9:49:38	I am listed as part time but  work 30-35 hours a week	1-3	18-22	Climbing Gym Employee (Front Desk)	$8.50	Summer camps	$8.50			Mooresville/NC/USA	$7.25	Not Sure	No	Not personally but other employees have	No	White	Female	I have been working here for over a year and still have not received any type of raise or bonus. I was supposed to receive one  at around 6 months of working here.
7/23/2020 10:04:09	Full Time	10+	22-30	Climbing Team Coach	13.75 USD	Climbing Instructor (for Adults)	13.75 USD	Climbing Gym Employee (Management)	13.75 USD	Mooresville, North Carolina USA	7.25	Yes	No	Not unsafe just an overwhelming sense of intimidation and verbal  abuse.	No, I have not personally experienced and if these  as I’m a straight white male, but I’ve heard and  seen many examples of owners being racist,  sexist, and homophobic.	White	Male	
7/23/2020 11:35:21	Full Time	5-10	30-40	Gym Employed Routesetter	$31					Austin, TX, USA	$7.25	Yes	yes for the industry as it stands, no if  you look at other skilled labor	yes	Sexism	White	Female	
7/23/2020 12:06:28	Part Time	3-5	18-22	Climbing Instructor (for Children)	$10.00/hour	Climbing Gym Employee (Front Desk)	$10.00/hour	Climbing Instructor (for Adults)	10.00/hour	Morrisville/NC/USA	$7.25/hour	Not Sure	Yes	No	No	White	Male	
7/23/2020 12:08:15	Part Time	5-10	30-40	Climbing Team Coach	18 hr	Gym Employed Routesetter	12			Virginia 	7.25	No	No	Yes, physically, emotionally, and mentally	Sexism	White	Female	It’s incredibly sexist. The work environment of a route setter is toxic, in every state
7/23/2020 12:31:04	Part Time	0-1	18-22	Climbing Gym Employee (Front Desk)	8.5	Climbing Instructor (for Children)	8.5	Monitor	8.5	Mooresville, NC, USA	7.25	Not Sure	No	No	Sexism	White	Female	
7/23/2020 13:56:14	Full Time	10+	30-40	Climbing Team Coach	25.5					Virginia/US	7.25	Yes	Yes	Yes	Racism, Sexism, I have witnessed these. 	White	Prefer not to say	
7/23/2020 14:47:25	Part Time	1-3	22-30	Climbing Gym Employee (Front Desk)	USD $12					Chapel Hill, North Carolina, United States of America	7.25	No	Yes	No	No	White	Male	
7/23/2020 14:49:29	Full Time	1-3	22-30	Climbing Gym Employee (Front Desk)	17.31	Climbing Instructor (for Adults)	17.31	Gym Employed Climbing Personal Trainer/Coach	50	USA/MA/Boston	12.75	Yes	No	No		White	Male	
7/23/2020 15:17:26	Part Time	3-5	30-40	Climbing Instructor (for Adults)	10	Climbing Gym Employee (Front Desk)	8.25			Richmond Virginia	7.25	No	No	no	Sexism, Weight discrimination	White	Female	
7/23/2020 15:58:20	Full Time	1-3	22-30	Gym Employed Routesetter	USD$15/hour					USA/MN/St Paul/Minneapolis/Bloomington	9.5	Yes	No	Yes, mostly self inflicted. Climbing is inherently dangerous ;)		Biracial	Male	
7/23/2020 16:23:08	Part Time	1-3	18-22	Climbing Gym Employee (Front Desk)	11.5	Climbing Instructor (for Adults)	11.5			USA, MN, St Paul	9.5	No	No	Yes	No	Hispanic, White, Biracial	Non Binary	
7/23/2020 16:39:05	Part Time	1-3	22-30	Climbing Instructor (for Adults)	$17	Climbing Gym Employee (Front Desk)	15			USA/NY/NYC	15	No	No	Yes	Sexism, Sexual Harassment 	White	Female	
7/23/2020 16:44:05	Part Time	5-10	30-40	Climbing Instructor (for Adults)	14	Climbing Gym Employee (Front Desk)	14	Climbing Instructor (for Children)	14	USA, Rockville, MD	13	Yes	Yes	No	Racism, Sexism	Asian	Female	It's harder as a BIPOC and woman to secure opportunities for advancement in skills. Criteria is often not clear. I've had to go  through several sets of management to finally hold some ground to have my voice heard. 
7/23/2020 17:02:41	Full Time	3-5	30-40	Climbing Gym Employee (Management)	USD $16.50	Climbing Instructor (for Adults)	16.5	Climbing Instructor (for Children)	USD $16.50	USA - Columbia, MD 	USD $11/hr	Yes	No	Working in a gym during the pandemic is unsafe by definition, but at least ours have VERY strict cleaning and mask policies	No	White	Male	Haven't personally experienced discrimination, but certainly know those who have and absolutely acknowledge its existence  within the industry and community.
7/23/2020 17:08:32	Full Time	3-5	22-30	Climbing Instructor (for Adults)	$26.67	Climbing Instructor (for Children)	26.67			Denver	12.85	Yes	Yes	No	No	White	Male	
7/23/2020 17:12:12	Full Time	5-10	30-40	Gym Employed Routesetter	31					United States, Virginia, Arlington	7.25	Yes	Yes	Yes	No	White	Male	
7/23/2020 17:18:54	Part Time	3-5	22-30	Climbing Instructor (for Adults)	14.5	Open Climb/Birthday parties	14.5	Retail chalkboard artist	$14	USA/MD/Rockville	13.25	Not Sure	Yes for the first two, no for the third position	No	No	Asian	Female	The climbing industry for the most part, is great, but they often have people do more work than they should/need to, when it  can be fixed with better organization of staff positions within the company. 
7/23/2020 17:20:33	Part Time	1-3	18-22	Climbing Gym Employee (Front Desk)	11	Climbing Instructor (for Adults)	11	Climbing Instructor (for Children)	11	USA, Maryland, Baltimore 	11	Not Sure	Yes	Nope	No	White	Male	
7/23/2020 17:57:36	Part Time	1-3	30-40	Climbing Team Coach	11.5	Climbing Gym Employee (Front Desk)	11.5	Climbing Instructor (for Adults)	11.5	USA/NJ	11	No	No	Not that I recall	No	White	Female	
7/23/2020 17:58:48	Part Time	1-3	18-22	Climbing Gym Employee (Management)	12.5	Climbing Gym Employee (Management)	12.5	Climbing Gym Employee (Management)	12.5	United states/New Jersey/Flemington	11	No	Yes	No		Hispanic, White	Male	Although I do get paid well for what I do, it would be nice to get paid an hourly wage to where I could live independently and  not be forced to rely on help from family members for a permeant living situation. I put a lot of time into my work efforts and not  allowed to exceed over 39 1/2 hours to avoid becoming a full-time employee and receive benefits. I love what I do and who I  do it for.
7/23/2020 18:05:42	Full Time	5-10	22-30	Climbing Team Coach	$19.50	Climbing Gym Employee (Front Desk)	12.5	Gym Employed Climbing Personal Trainer/Coach	25	USA, Maryland, Baltimore 	11	Yes	Yes	No	No, I’m a straight white male so I’ve been privileged. 	White	Male	
7/23/2020 18:10:07	Part Time	3-5	30-40	Climbing Instructor (for Adults)	11					USA/MD/Columbia	10.10/hr.	No	No	Yes. The work is by definition unsafe.		Asian	Male	I think it’s time to start rabble rousing about unionization.
7/23/2020 18:31:06	Full Time	5-10	22-30	Climbing Gym Employee (Management)	26.44					Fountain valley CA	15	Yes	No	No	Sexism	White	Female	
7/23/2020 18:37:43	Full Time	3-5	30-40	Climbing Gym Employee (Management)	USD $45,500 annual					New York City	$15	It's only offered to full time  employees and the company  only pays half	No. Employees are expected to go way  above and beyond their roles and  responsibilities in order to even be  CONSIDERED for a yearly pay increase.  We're forced to do arbitrary peer reviews  every year with nothing to show for it. Also,  many of our job titles and requirements are  constantly being altered with the expectation  that we should do more work for the same  pay. 	Horrible air quality was probably the worst part	Sexism	White	Female	(Most of) the members and the facility level employees are the one redeeming quality of working in climbing gyms. It's a  shame that upper management is so often an out-of-touch bro-fest with no regard for the people who keep them afloat.
7/23/2020 18:40:39	Full Time	5-10	22-30	Climbing Gym Employee (Management)	$18.50					USA/MD/Rockville	$15	Yes	Yes	Yes	No	White	Male	
7/23/2020 18:42:55	Part Time	3-5	30-40	Climbing Instructor (for Children)	15	Climbing Gym Employee (Front Desk)	15			Maryland	$15.00	Yes, but I don't use it.	No	No.	No	White	Female	I love my job. I don't do it for the money but if it paid better maybe I could.
7/23/2020 18:45:08	Full Time	1-3	22-30	Climbing Gym Employee (Management)	$19					St. Louis	$8.75	Yes	No	Yes	Sexism, Homophobia	White	Female	I’m curious how other gyms / ownership deals with upper management turnover. Our salaries are kept so low that the general  managers often leave before finishing a year or two, and it’s not a manageable salary for anyone who’s not recently out of  school, has limited expenses/no family dependents, and is passionate enough about climbing to stick around. I’ve seen the  numbers for the gym and know that there’s not mountains of cash being hoarded by the ownership, but I wonder if investing  in management so that they stick around for longer and develop knowledge and experience wouldn’t help both the quality of  the gym as well as the overall profitability. 
7/23/2020 18:45:33	Full Time	10+	22-30	Outdoor Climbing Guide	USD$22.5					Maryland	$10.20	No	Yes	No	Sexism, Homophobia, Transphobia	White	Male	
7/23/2020 18:47:48	Part Time	0-1	30-40	Climbing Gym Employee (Front Desk)	$8 hr					Us NC Mooresville	7.25	No	No	Often	Racism, Sexism	White	Female	The sexism was rampant. Our gym owner made a sexist tee shirt to sell and when female workers and climbers complained he wore it over and over.
7/23/2020 19:10:13	Full Time	3-5	22-30	Gym Employed Routesetter	USD$12.50 	Climbing Gym Employee (Management)	12.5			USA/NJ/Flemington	10.5	No	No	Yes	No	White	Male	
7/23/2020 20:00:19	Full Time	1-3	22-30	Climbing Gym Employee (Management)	33	Climbing Instructor (for Adults)	33			USA/CA/Bay Area	16.05	Yes	Yes	Yes	Sexism	Southeast Asian, White	Female	I'm responding from my current job as an assistant gym director, not in my previous positions as front desk/coach. We've come  a long way, but we've got a long way to go. 
7/23/2020 20:08:17	Full Time	1-3	30-40	Climbing Gym Employee (Management)	19.25					USA/Virginia/Arlington	7.25	Yes	No	No	Sexism	White	Female	
7/23/2020 20:36:10	Part Time	3-5	22-30	Climbing Gym Employee (Front Desk)	17.5	Climbing Instructor (for Children)	17.5	Climbing Instructor (for Adults)	17.5	USA/CA/Fountain Valley	12	No	Yes	No	Sexism, Homophobia, Transphobia	White	Non Binary	
7/23/2020 20:58:04	Full Time	3-5	30-40	Facilities 	22.5					USA/VA/Crystal City 	7.25	Yes	Yes	I have though I feel most of the time it was of my own volition. 	As a white cis male it's not a question I can answer	White	Male	Thank you for wage transparency. 
7/23/2020 21:20:43	Part Time	3-5	22-30	Climbing Team Coach	$22 USD	Climbing Gym Employee (Front Desk)	20			San Francisco, CA	$15.59 USD	Yes	Yes	No	Racism, Sexism	Asian	Female	
7/23/2020 21:31:23	Part Time	5-10	22-30	Climbing Gym Employee (Front Desk)	$14.00	Climbing Instructor (for Children)	14			Arlington, VA 	$7.25	No	Yes	No	No	White	Female	
7/23/2020 21:33:29	Full Time	3-5	22-30	Marketing	21					Baltimore, MD	$11	Yes	No	yes	No	White	Male	
7/23/2020 21:44:16	Part Time	3-5	22-30	Climbing Gym Employee (Front Desk)	16	Gym Employed Routesetter	16	Gym Employed Climbing Personal Trainer/Coach	30	Baltimore	12.5	Yes	No	No	No	Asian	Male	
7/23/2020 22:03:13	Part Time	5-10	22-30	Climbing Gym Employee (Management)	$26.50 per hour (previously was  salaried at 53k)	Climbing Instructor (for Children)	26.5			USA / Virginia and Maryland	7.25 (VA) or 14.00 (MD)	Yes	No	Yes	Sexism	White	Male	
7/23/2020 22:35:38	Full Time	5-10	22-30	Gym Employed Routesetter	$39,000/year					Southeast US	$10.00/hr	No	No	Sure, we all have!	No	White	Male	I’m the head route setter for a large facility that was making multiple millions per year pre-pandemic. I’ve been told multiple  times by various administrators about how proud they are of their employee payroll (they think they’re paying everyone more  than enough...). Employees (besides salaried employees, of which there are currently two) don’t get PTO, health insurance  coverage, and I’m almost certain there’s no sick leave for hourly employees. Salaried employees accrue PTO and sick leave  but that’s the only benefit other than pay. Could write a book on everything that I see wrong with the industry, but a starting point  would be paying route setters and head route setters more because they are creating the product that is making (or was making)  gym owners millionaires.
7/23/2020 22:47:38	Part Time	1-3	30-40	Climbing Gym Employee (Front Desk)	13.6	Climbing Instructor (for Adults)	13.6	Climbing Instructor (for Children)	13.6	United States/MD/rockville 	14	Yes	Yes	No	Racism, Sexism	Southeast Asian	Female	
7/23/2020 23:19:15	Currently full time due to  limited employees  returning to work/covid 19	5-10	22-30	Gym Employed Routesetter	15.50 USD$	None	0	None	0	USA/Kentucky/Louisville	$7.50	No	No	Yes, often	No	White	Male	The misunderstanding that being a stronger climber means I always want to set the hard routes/ that all the hard totes are  set for me/I take pride in sandbagging. None are true
7/24/2020 0:24:14	Full Time	5-10	22-30	Climbing Gym Employee (Front Desk)	17	Climbing Instructor (for Adults)	24	Artist	25	Sacramento, CA	12.5	Yes	Yes	Hahahahaha	Sexism	White	Female	I wouldn’t want to do anything else.
7/24/2020 4:15:33	Part Time	5-10	30-40	Climbing Instructor (for Adults)	$10.50	Gym/member safety compliance	10.5	Climbing Instructor (for Children)	$10.50	Columbia, MD, USA	$10.10/hour	No	I’m happy to work for the company because  I love climbing and believe in our mission,  but I do feel most instructional staff are very  underpaid. I do consider my free gym  membership as part of my compensation  package. That amounts to about another  $1200/ year, essentially.	No	I’ve had members make gauche or snide comments  about my weight when I’m working out, but NEVER  by a gym employee/coworker	White	Female	I enjoy sharing my passion for climbing with new people. I take pride in starting new climbers off with good habits. I’m not  necessarily unhappy with my pay/benefits, but I also have a full time job that pays me well, and provides health  benefits/401k etc.
7/24/2020 5:13:06	Full Time	5-10	22-30	Freelance Routesetter	14.5					United States/PA/Philadelphia	7.25	No	No	Yes	Sexism	White	Non Binary	Deficiency in compensation for routesetting, across just about all gyms I've worked for. It's a rigorous and demanding occupation,  that takes a major toll on the body. I've been setting full time for years. I've never been offered health care, and I can barely make  ends meet.
7/24/2020 8:23:01	Part Time	1-3	22-30	Climbing Gym Employee (Front Desk)	11.1	Climbing Instructor (for Adults)	11.1			USA/ Maryland/ Baltimore	11	No	No	No	No	White	Male	
7/24/2020 9:11:22	Full Time	5-10	30-40	Gym Employed Routesetter	15	Climbing Instructor (for Adults)	15			USA/Columbus/Ohio	?	Yes	No	Of course. 	No, I’m white cis male	White	Male	Management was manipulative and I was very underpaid along with most of the staff. 
7/24/2020 9:28:05	Part Time	3-5	22-30	Freelance Routesetter	USD$0.00					USA/Pennsylvania/Lancaster	7.25	No	No	no		White	Male	I've worked in 5 separate gyms none of which truly pay instead just offer membership. I believe this trend needs to change  considering how much time I put into routesetting. I normally work about 20 hours a week.
